GID	CID	SID	PEDIGREE	Drought_Yield	Irrig_Yield	Irrig_TKW	Irrig_DTH
6000218	512786	99	NSM*4/14-2//FRTL/2*PIFED/3/VORB	4.1	7.6	40.8	90
6000219	512786	100	NSM*4/14-2//FRTL/2*PIFED/3/VORB	4.15	7.61	57.8	89
6000227	512908	122	BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR/5/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR	4.13	7.49	41.5	90.5
6000229	512908	124	BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR/5/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR	4.12	7.42	41.7	91
6000230	512908	125	BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR/5/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR	4.25	7.48	55.8	92
6000234	512908	129	BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR/5/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR	4.08	7.91	55	90
6000238	512908	133	BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR/5/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR	3.97	7.66	41.9	92
6000240	512908	135	BABAX/LR42//BABAX/3/BABAX/LR42//BABAX/4/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR/5/T.DICOCCON PI94625/AE.SQUARROSA (372)//3*PASTOR	4.09	7.06	42.3	92
6000246	504110	78	CNO79//PF70354/MUS/3/PASTOR/4/BAV92/5/BH1146*3/ALD//BUC/3/BAU	4.02	6.98	50.3	82
6000253	504110	85	CNO79//PF70354/MUS/3/PASTOR/4/BAV92/5/BH1146*3/ALD//BUC/3/BAU	4.04	6.97	53.3	80
6000254	504110	86	CNO79//PF70354/MUS/3/PASTOR/4/BAV92/5/BH1146*3/ALD//BUC/3/BAU	3.99	7.51	51.9	84
6000260	504111	148	MILAN/KAUZ//PRINIA/3/BAV92/5/TRAP#1/BOW//VEE#5/SARA/3/ZHE JIANG 4/4/DUCULA	4.39	7.15	49.3	83
6000261	504111	149	MILAN/KAUZ//PRINIA/3/BAV92/5/TRAP#1/BOW//VEE#5/SARA/3/ZHE JIANG 4/4/DUCULA	4.21	7.01	48.5	83
6000264	504111	152	MILAN/KAUZ//PRINIA/3/BAV92/5/TRAP#1/BOW//VEE#5/SARA/3/ZHE JIANG 4/4/DUCULA	4.57	6.93	52	81.5
6000269	504111	157	MILAN/KAUZ//PRINIA/3/BAV92/5/TRAP#1/BOW//VEE#5/SARA/3/ZHE JIANG 4/4/DUCULA	4.33	7.1	51.4	82
6000319	504185	59	CHAPIO/3/BORL95/2*EXCALIBUR//EXCALIBUR	4.4	7.77	46	84.5
6000323	504185	63	CHAPIO/3/BORL95/2*EXCALIBUR//EXCALIBUR	4.46	7.39	46.9	85.5
6000325	504185	65	CHAPIO/3/BORL95/2*EXCALIBUR//EXCALIBUR	4.22	7.49	44.5	86.5
6000327	504211	26	SUNCO/2*PASTOR//MBEGA	4.19	5.86	48.1	80.5
6000329	504221	55	SOKOLL/MIRIAM 41	4.15	7.01	45.8	82
6000330	504221	56	SOKOLL/MIRIAM 41	4.19	6.57	44	83
6000353	504237	153	FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/5/ONIX	4.09	6.96	54	78
6000354	504237	154	FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/5/ONIX	3.97	6.8	54.2	78
6000355	504237	155	FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/5/ONIX	4.47	7.65	49.1	85.5
6000359	504237	159	FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/5/ONIX	4.27	7.17	55.9	81
6000363	504237	163	FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/5/ONIX	4.14	6.56	55.4	77.5
6000365	504237	165	FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/5/ONIX	4.55	6.99	53.1	83
6000368	504237	168	FRET2*2/4/SNI/TRAP#1/3/KAUZ*2/TRAP//KAUZ/5/ONIX	4.18	7.13	57.6	79
6000375	504243	65	WBLL1*2/TUKURU//ONIX	4.22	7.11	48.9	77.5
6000376	504243	66	WBLL1*2/TUKURU//ONIX	4.46	7.67	51.1	74
6000384	504248	70	ONIX//TACUPETO F2001*2/KUKUNA	4.47	6.97	42.3	88.5
6000387	504248	73	ONIX//TACUPETO F2001*2/KUKUNA	4.52	6.76	45.2	83
6000390	504248	76	ONIX//TACUPETO F2001*2/KUKUNA	4.34	7	41.5	87
6000392	504250	101	ONIX/4/MILAN/KAUZ//PRINIA/3/BAV92	4.62	6.24	52.1	81
6000396	504250	105	ONIX/4/MILAN/KAUZ//PRINIA/3/BAV92	4.53	6.55	51.2	80.5
6000399	504250	108	ONIX/4/MILAN/KAUZ//PRINIA/3/BAV92	4.38	6.19	54.6	81
6000404	504250	113	ONIX/4/MILAN/KAUZ//PRINIA/3/BAV92	4.54	7.82	48.9	79
6000482	504347	46	INCO//FINK/IA8834/3/WBLL1*2/KUKUNA	3.66	7.23	45.3	82.5
6000537	504457	64	ACHTAR/4/MILAN/KAUZ//PRINIA/3/BAV92	4.54	8.02	49.7	87.5
6000543	504481	63	CORTAZAR/4/BJY/COC//PRL/BOW/3/FRTL	3.58	6.38	57.6	82
6000547	504493	54	BARCENAS S 2002/4/MILAN/KAUZ//PRINIA/3/BAV92	4.36	7.7	55.5	73
6000566	504539	32	FDC36//ATTILA*2/PBW65	4.17	7.34	46	84.5
6000598	506864	37	FLORKWA-1/DHARWAR DRY/5/CNO79//PF70354/MUS/3/PASTOR/4/BAV92/6/BABAX/LR42//BABAX/3/BABAX/LR42//BABAX	4.56	7.29	48.2	81
6000614	506887	98	CNO79//PF70354/MUS/3/PASTOR/4/BAV92/5/FRET2/KUKUNA//FRET2/6/MILAN/KAUZ//PRINIA/3/BAV92	4.15	6.81	60.3	81
